"column_id"	"table_id"	"column_name"	"column_comment"	"column_type"	"net_type"	"net_field"	"is_pk"	"is_increment"	"is_required"	"is_insert"	"is_edit"	"is_list"	"is_query"	"query_type"	"html_type"	"dict_type"	"sort"	"create_by"	"create_time"	"update_by"	"update_time"
"4"	"2"	"id"	"自增主键"	"int(10) unsigned"	"int"	"Id"	"1"	"1"	"0"	"1"				"EQ"	"input"		"1"	"admin"	"1/4/2025 15:25:26"		
"5"	"2"	"code_id"	"ID"	"bigint(15)"	"long"	"CodeId"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"EQ"	"input"		"2"	"admin"	"1/4/2025 15:25:26"		
"6"	"2"	"Content"	"保养内容"	"varchar(500)"	"string?"	"Content"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"textarea"	"editor"		"3"	"admin"	"1/4/2025 15:25:26"		
"7"	"2"	"remark"	"备注"	"varchar(500)"	"string?"	"Remark"	"0"	"0"	"0"	"1"	"1"	"1"		"textarea"			"4"	"admin"	"1/4/2025 15:25:26"		
"8"	"2"	"create_time"	"记录创建时间"	"timestamp"	"DateTime?"	"CreateTime"	"0"	"0"	"0"	"1"	"0"	"1"		"EQ"	"datetime"		"5"	"admin"	"1/4/2025 15:25:26"		
"9"	"2"	"update_time"	"记录更新时间"	"timestamp"	"DateTime?"	"UpdateTime"	"0"	"0"	"0"	"1"	"1"			"EQ"	"datetime"		"6"	"admin"	"1/4/2025 15:25:26"		
"10"	"2"	"create_by"	"创建人"	"varchar(255)"	"string?"	"CreateBy"	"0"	"0"	"0"	"1"		"1"		"input"			"7"	"admin"	"1/4/2025 15:25:26"		
"11"	"2"	"update_by"	"更新人"	"varchar(255)"	"string?"	"UpdateBy"	"0"	"0"	"0"	"1"	"1"			"input"			"8"	"admin"	"1/4/2025 15:25:26"		
"34"	"4"	"device_id"	"设备CodeID"	"bigint(20)"	"long"	"DeviceId"	"1"	"0"	"0"	"1"				"EQ"	"input"		"1"	"admin"	"1/4/2025 15:29:56"		
"35"	"4"	"maint_id"	"保养CodeID"	"bigint(20)"	"long"	"MaintId"	"1"	"0"	"0"	"1"				"EQ"	"input"		"2"	"admin"	"1/4/2025 15:29:56"		
"36"	"4"	"tenant_id"	"所属集团ID"	"bigint(20)"	"long?"	"TenantId"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"EQ"	"input"		"3"	"admin"	"1/4/2025 15:29:56"		
"37"	"4"	"create_time"	"记录创建时间"	"timestamp"	"DateTime?"	"CreateTime"	"0"	"0"	"0"	"1"				"EQ"	"datetime"		"4"	"admin"	"1/4/2025 15:29:56"		
"38"	"4"	"update_time"	"记录更新时间"	"timestamp"	"DateTime?"	"UpdateTime"	"0"	"0"	"0"	"1"	"1"			"EQ"	"datetime"		"5"	"admin"	"1/4/2025 15:29:56"		
"39"	"4"	"create_by"	""	"varchar(255)"	"string?"	"CreateBy"	"0"	"0"	"0"	"1"				"input"			"6"	"admin"	"1/4/2025 15:29:56"		
"40"	"4"	"update_by"	""	"varchar(255)"	"string?"	"UpdateBy"	"0"	"0"	"0"	"1"	"1"			"input"			"7"	"admin"	"1/4/2025 15:29:56"		
"41"	"5"	"id"	"主键ID（不自增）"	"bigint(20)"	"long"	"Id"	"1"	"0"	"0"	"1"				"EQ"	"input"		"1"	"admin"	"7/4/2025 10:28:15"		
"42"	"5"	"name"	"操作票名称"	"varchar(100)"	"string"	"Name"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"LIKE"			"2"	"admin"	"7/4/2025 10:28:15"		
"43"	"5"	"device_ids"	"设备ID列表（JSON格式）"	"text"	"string?"	"DeviceIds"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"textarea"			"3"	"admin"	"7/4/2025 10:28:15"		
"44"	"5"	"number"	"操作票编号"	"varchar(50)"	"string?"	"Number"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"input"			"4"	"admin"	"7/4/2025 10:28:15"		
"45"	"5"	"create_by"	"创建人"	"varchar(64)"	"string?"	"CreateBy"	"0"	"0"	"0"	"1"				"input"			"5"	"admin"	"7/4/2025 10:28:15"		
"46"	"5"	"create_time"	"创建时间"	"datetime"	"DateTime?"	"CreateTime"	"0"	"0"	"0"	"0"			"0"	"EQ"	"datetime"		"6"	"admin"	"7/4/2025 10:28:15"		
"47"	"5"	"update_by"	"更新人"	"varchar(64)"	"string?"	"UpdateBy"	"0"	"0"	"0"	"0"	"1"			"input"			"7"	"admin"	"7/4/2025 10:28:15"		
"48"	"5"	"update_time"	"更新时间"	"datetime"	"DateTime?"	"UpdateTime"	"0"	"0"	"0"	"0"	"0"		"0"	"EQ"	"datetime"		"8"	"admin"	"7/4/2025 10:28:15"		
"49"	"6"	"id"	"主键"	"bigint(20)"	"long"	"Id"	"1"	"0"	"0"	"0"				"EQ"	"input"		"1"	"admin"	"9/4/2025 11:28:02"		
"50"	"6"	"task_id"	"任务ID，关联 device_inspection_task(id)"	"bigint(20)"	"long"	"TaskId"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"EQ"	"input"		"2"	"admin"	"9/4/2025 11:28:02"		
"51"	"6"	"task_name"	"任务名称"	"varchar(100)"	"string"	"TaskName"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"LIKE"			"3"	"admin"	"9/4/2025 11:28:02"		
"52"	"6"	"leader"	"负责人"	"varchar(50)"	"string?"	"Leader"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"input"			"4"	"admin"	"9/4/2025 11:28:02"		
"53"	"6"	"executor"	"执行人"	"varchar(50)"	"string?"	"Executor"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"input"			"5"	"admin"	"9/4/2025 11:28:02"		
