"menu_id"	"menu_name"	"parent_id"	"order_num"	"path"	"component"	"query"	"is_frame"	"is_cache"	"menu_type"	"visible"	"status"	"perms"	"icon"	"create_by"	"create_time"	"update_by"	"update_time"	"remark"	"tenant_id"
"1"	"KRT 系统管理"	"0"	"1"	"system"		""	"1"	"0"	"M"	"0"	"0"	""	"system"	"admin"	"11/12/2024 20:31:31"	"admin"	"12/4/2025 09:25:51"	"系统管理目录"	
"2"	"KRT 系统监控"	"0"	"2"	"monitor"		""	"1"	"0"	"M"	"0"	"0"	""	"monitor"	"admin"	"11/12/2024 20:31:31"	"admin"	"12/4/2025 09:25:47"	"系统监控目录"	
"3"	"KRT 系统工具"	"0"	"3"	"tool"		""	"1"	"0"	"M"	"0"	"0"	""	"tool"	"admin"	"11/12/2024 20:31:31"	"admin"	"12/4/2025 09:25:42"	"系统工具目录"	
"100"	"用户管理"	"1"	"1"	"user"	"system/user/index"	""	"1"	"0"	"C"	"0"	"0"	"system:user:list"	"user"	"admin"	"11/12/2024 20:31:31"	""		"用户管理菜单"	
"101"	"角色管理"	"1"	"2"	"role"	"system/role/index"	""	"1"	"0"	"C"	"0"	"0"	"system:role:list"	"peoples"	"admin"	"11/12/2024 20:31:31"	""		"角色管理菜单"	
"102"	"菜单管理"	"1"	"3"	"menu"	"system/menu/index"	""	"1"	"0"	"C"	"0"	"0"	"system:menu:list"	"tree-table"	"admin"	"11/12/2024 20:31:31"	""		"菜单管理菜单"	
"103"	"部门管理"	"1"	"4"	"dept"	"system/dept/index"	""	"1"	"0"	"C"	"0"	"0"	"system:dept:list"	"tree"	"admin"	"11/12/2024 20:31:31"	""		"部门管理菜单"	
"104"	"岗位管理"	"1"	"5"	"post"	"system/post/index"	""	"1"	"0"	"C"	"1"	"0"	"system:post:list"	"post"	"admin"	"11/12/2024 20:31:31"	"董靖"	"28/4/2025 15:34:43"	"岗位管理菜单"	
"105"	"字典管理"	"1"	"6"	"dict"	"system/dict/index"	""	"1"	"0"	"C"	"0"	"0"	"system:dict:list"	"dict"	"admin"	"11/12/2024 20:31:31"	""		"字典管理菜单"	
"106"	"参数设置"	"1"	"7"	"config"	"system/config/index"	""	"1"	"0"	"C"	"0"	"0"	"system:config:list"	"edit"	"admin"	"11/12/2024 20:31:31"	""		"参数设置菜单"	
