"oper_id"	"title"	"business_type"	"method"	"request_method"	"operator_type"	"oper_name"	"dept_name"	"oper_url"	"oper_ip"	"oper_location"	"oper_param"	"json_result"	"status"	"error_msg"	"oper_time"	"cost_time"
"100"	"菜单管理"	"1"	"RuoYi.System.Controllers.SysMenuController.Add"	"POST"	"1"	"admin"		"http://localhost:5000/system/menu"	"0.0.0.1"	"X.X.X.X"	"{""menu"":{""menuId"":0,""menuName"":""\u7EC4\u7EC7\u7BA1\u7406"",""parentName"":null,""parentId"":0,""orderNum"":5,""path"":""tenant"",""component"":null,""query"":null,""isFrame"":""1"",""isCache"":""0"",""menuType"":""M"",""visible"":""0"",""status"":""0"",""perms"":null,""icon"":""button"",""roleStatus"":null,""userId"":0,""roleId"":0,""menuTypes"":[],""createBy"":null,""createTime"":null,""updateBy"":null,""updateTime"":null,""remark"":null,""params"":{""beginTime"":null,""endTime"":null,""dataScopeSql"":null}}}"	"{""msg"":""\u64CD\u4F5C\u6210\u529F."",""data"":true,""code"":200}"	"0"		"12/12/2024 10:36:43"	"276"
"101"	"菜单管理"	"2"	"RuoYi.System.Controllers.SysMenuController.Edit"	"PUT"	"1"	"admin"		"http://localhost:5000/system/menu"	"0.0.0.1"	"X.X.X.X"	"{""menu"":{""menuId"":4,""menuName"":""\u82E5\u4F9D\u5B98\u7F51"",""parentName"":null,""parentId"":0,""orderNum"":4,""path"":""http://ruoyi.vip"",""component"":null,""query"":"""",""isFrame"":""0"",""isCache"":""0"",""menuType"":""M"",""visible"":""1"",""status"":""0"",""perms"":"""",""icon"":""guide"",""roleStatus"":null,""userId"":0,""roleId"":0,""menuTypes"":[],""createBy"":""admin"",""createTime"":""2024-12-11T20:31:31"",""updateBy"":"""",""updateTime"":null,""remark"":null,""params"":{""beginTime"":null,""endTime"":null,""dataScopeSql"":null}}}"	"{""msg"":""\u64CD\u4F5C\u6210\u529F."",""data"":1,""code"":200}"	"0"		"12/12/2024 10:36:57"	"258"
"102"	"菜单管理"	"1"	"RuoYi.System.Controllers.SysMenuController.Add"	"POST"	"1"	"admin"		"http://localhost:5000/system/menu"	"0.0.0.1"	"X.X.X.X"	"{""menu"":{""menuId"":0,""menuName"":""\u7528\u6237\u7BA1\u7406"",""parentName"":null,""parentId"":2000,""orderNum"":0,""path"":""user"",""component"":""system/user/index"",""query"":null,""isFrame"":""1"",""isCache"":""0"",""menuType"":""C"",""visible"":""0"",""status"":""0"",""perms"":""system:user:list"",""icon"":null,""roleStatus"":null,""userId"":0,""roleId"":0,""menuTypes"":[],""createBy"":null,""createTime"":null,""updateBy"":null,""updateTime"":null,""remark"":null,""params"":{""beginTime"":null,""endTime"":null,""dataScopeSql"":null}}}"	"{""msg"":""\u64CD\u4F5C\u6210\u529F."",""data"":true,""code"":200}"	"0"		"12/12/2024 10:38:12"	"194"
"103"	"菜单管理"	"1"	"RuoYi.System.Controllers.SysMenuController.Add"	"POST"	"1"	"admin"		"http://localhost:5000/system/menu"	"0.0.0.1"	"X.X.X.X"	"{""menu"":{""menuId"":0,""menuName"":""\u89D2\u8272\u7BA1\u7406"",""parentName"":null,""parentId"":2000,""orderNum"":1,""path"":""role"",""component"":""system/role/index"",""query"":null,""isFrame"":""1"",""isCache"":""0"",""menuType"":""C"",""visible"":""0"",""status"":""0"",""perms"":""system:role:list"",""icon"":null,""roleStatus"":null,""userId"":0,""roleId"":0,""menuTypes"":[],""createBy"":null,""createTime"":null,""updateBy"":null,""updateTime"":null,""remark"":null,""params"":{""beginTime"":null,""endTime"":null,""dataScopeSql"":null}}}"	"{""msg"":""\u64CD\u4F5C\u6210\u529F."",""data"":true,""code"":200}"	"0"		"12/12/2024 10:38:56"	"307"
"104"	"菜单管理"	"1"	"RuoYi.System.Controllers.SysMenuController.Add"	"POST"	"1"	"admin"		"http://localhost:5000/system/menu"	"0.0.0.1"	"X.X.X.X"	"{""menu"":{""menuId"":0,""menuName"":""\u83DC\u5355\u7BA1\u7406"",""parentName"":null,""parentId"":2000,""orderNum"":2,""path"":""menu"",""component"":""system/menu/index"",""query"":null,""isFrame"":""1"",""isCache"":""0"",""menuType"":""C"",""visible"":""0"",""status"":""0"",""perms"":""system:menu:list"",""icon"":null,""roleStatus"":null,""userId"":0,""roleId"":0,""menuTypes"":[],""createBy"":null,""createTime"":null,""updateBy"":null,""updateTime"":null,""remark"":null,""params"":{""beginTime"":null,""endTime"":null,""dataScopeSql"":null}}}"	"{""msg"":""\u64CD\u4F5C\u6210\u529F."",""data"":true,""code"":200}"	"0"		"12/12/2024 10:39:29"	"307"
"105"	"菜单管理"	"1"	"RuoYi.System.Controllers.SysMenuController.Add"	"POST"	"1"	"admin"		"http://localhost:5000/system/menu"	"0.0.0.1"	"X.X.X.X"	"{""menu"":{""menuId"":0,""menuName"":""\u90E8\u95E8\u7BA1\u7406"",""parentName"":null,""parentId"":2000,""orderNum"":3,""path"":""dept"",""component"":""system/dept/index"",""query"":null,""isFrame"":""1"",""isCache"":""0"",""menuType"":""C"",""visible"":""0"",""status"":""0"",""perms"":""system:dept:list"",""icon"":null,""roleStatus"":null,""userId"":0,""roleId"":0,""menuTypes"":[],""createBy"":null,""createTime"":null,""updateBy"":null,""updateTime"":null,""remark"":null,""params"":{""beginTime"":null,""endTime"":null,""dataScopeSql"":null}}}"	"{""msg"":""\u64CD\u4F5C\u6210\u529F."",""data"":true,""code"":200}"	"0"		"12/12/2024 10:39:58"	"199"
"106"	"菜单管理"	"2"	"RuoYi.System.Controllers.SysMenuController.Edit"	"PUT"	"1"	"admin"		"http://localhost:5000/system/menu"	"0.0.0.1"	"X.X.X.X"	"{""menu"":{""menuId"":2003,""menuName"":""\u83DC\u5355\u7BA1\u7406"",""parentName"":null,""parentId"":2000,""orderNum"":4,""path"":""menu"",""component"":""system/menu/index"",""query"":null,""isFrame"":""1"",""isCache"":""0"",""menuType"":""C"",""visible"":""0"",""status"":""0"",""perms"":""system:menu:list"",""icon"":null,""roleStatus"":null,""userId"":0,""roleId"":0,""menuTypes"":[],""createBy"":""admin"",""createTime"":""2024-12-12T10:39:29"",""updateBy"":null,""updateTime"":null,""remark"":null,""params"":{""beginTime"":null,""endTime"":null,""dataScopeSql"":null}}}"	"{""msg"":""\u64CD\u4F5C\u6210\u529F."",""data"":1,""code"":200}"	"0"		"12/12/2024 10:40:26"	"287"
"107"	"菜单管理"	"1"	"RuoYi.System.Controllers.SysMenuController.Add"	"POST"	"1"	"admin"		"http://localhost:5000/system/menu"	"0.0.0.1"	"X.X.X.X"	"{""menu"":{""menuId"":0,""menuName"":""\u7EC4\u7EC7\u7BA1\u7406"",""parentName"":null,""parentId"":2000,""orderNum"":2,""path"":""tenant"",""component"":""system/tenant/index"",""query"":null,""isFrame"":""1"",""isCache"":""0"",""menuType"":""C"",""visible"":""0"",""status"":""0"",""perms"":""system:dept:tenant"",""icon"":null,""roleStatus"":null,""userId"":0,""roleId"":0,""menuTypes"":[],""createBy"":null,""createTime"":null,""updateBy"":null,""updateTime"":null,""remark"":null,""params"":{""beginTime"":null,""endTime"":null,""dataScopeSql"":null}}}"	"{""msg"":""\u64CD\u4F5C\u6210\u529F."",""data"":true,""code"":200}"	"0"		"12/12/2024 10:42:13"	"233"
"108"	"菜单管理"	"2"	"RuoYi.System.Controllers.SysMenuController.Edit"	"PUT"	"1"	"admin"		"http://localhost:5000/system/menu"	"0.0.0.1"	"X.X.X.X"	"{""menu"":{""menuId"":3,""menuName"":""\u7CFB\u7EDF\u5DE5\u5177"",""parentName"":null,""parentId"":0,""orderNum"":3,""path"":""tool"",""component"":null,""query"":"""",""isFrame"":""1"",""isCache"":""0"",""menuType"":""M"",""visible"":""1"",""status"":""0"",""perms"":"""",""icon"":""tool"",""roleStatus"":null,""userId"":0,""roleId"":0,""menuTypes"":[],""createBy"":""admin"",""createTime"":""2024-12-11T20:31:31"",""updateBy"":"""",""updateTime"":null,""remark"":null,""params"":{""beginTime"":null,""endTime"":null,""dataScopeSql"":null}}}"	"{""msg"":""\u64CD\u4F5C\u6210\u529F."",""data"":1,""code"":200}"	"0"		"12/12/2024 10:42:27"	"226"
"109"	"菜单管理"	"2"	"RuoYi.System.Controllers.SysMenuController.Edit"	"PUT"	"1"	"admin"		"http://localhost:5000/system/menu"	"0.0.0.1"	"X.X.X.X"	"{""menu"":{""menuId"":4,""menuName"":""\u82E5\u4F9D\u5B98\u7F51"",""parentName"":null,""parentId"":0,""orderNum"":10,""path"":""http://ruoyi.vip"",""component"":null,""query"":"""",""isFrame"":""0"",""isCache"":""0"",""menuType"":""M"",""visible"":""1"",""status"":""0"",""perms"":"""",""icon"":""guide"",""roleStatus"":null,""userId"":0,""roleId"":0,""menuTypes"":[],""createBy"":""admin"",""createTime"":""2024-12-11T20:31:31"",""updateBy"":""admin"",""updateTime"":""2024-12-12T10:36:57"",""remark"":null,""params"":{""beginTime"":null,""endTime"":null,""dataScopeSql"":null}}}"	"{""msg"":""\u64CD\u4F5C\u6210\u529F."",""data"":1,""code"":200}"	"0"		"12/12/2024 10:42:53"	"300"
